index,lon,lat,label_name
0,34.48998932085606,0.8750579758695756,None
0,34.22033,0.538299,red clover
1008,36.55059524,-2.348214286,Other
1008,38.455680871,-2.258033288,None
100,34.00414544857647,0.010323573053187497,None
100,34.26292,0.58344,tournesol
10118,38.75,-1.047619048,None
10139,39.75,-0.047619048,Other
1016,36.478691541,-1.507281506,None
101,34.01960393485789,-0.023376446855461537,None
101,34.26321,0.582142,millet
10246,35.75,0.952380952,Other
1028,38.210084341,-1.506922305,None
1029,34.738854578,-1.261218006,None
102,34.02525205245444,-0.04358817649910244,None
102,34.26295,0.581883,millet
10316,40.75,-2.047619048,None
1034,39.19768069,-1.015310872,None
103,34.036758479608025,-0.005186804035018845,None
103,34.26284,0.581738,millet
1046,38.948850225,-1.511412323,None
1049,39.446511156,-1.758704564,None
104,34.05327890405595,0.012347368917298651,None
104,34.26434,0.583552,millet
105,34.059468039596354,0.007103600717625187,None
105,34.26402,0.584787,white sorghum
106,34.0609023186943,-0.0004949187556923375,None
106,34.26281,0.581905,millet
107,34.075921069532285,0.014100650430129827,None
107,34.26341,0.582087,millet
1083,39.448307786,-1.761757395,None
108,34.08854105525142,0.0067019612885950725,None
108,34.26481,0.584279,millet
1092,39.194806082,-2.006323144,None
109,34.09398669403243,0.01533391431752318,None
109,34.26536,0.583594,millet
10,34.22122,0.53987,millet
110,34.110494689114276,0.004731644435154322,None
110,34.26318,0.583479,millet
11117,36.75,-1.547619048,Other
11187,40.75,-1.547619048,None
111,34.1641774726458,-0.013345505858265843,None
111,34.26447,0.583655,red clover
111,37.713142062,-3.493596666,None
11223,36.75,-0.547619048,None
1128,39.444714525,-4.228350432,None
11291,38.75,-0.547619048,None
112,34.1725832757149,-0.011820248888497883,None
112,34.26456,0.584216,tournesol
113,34.16973699557712,0.005394953054870851,None
113,34.2638,0.584701,millet
1146,36.723928745,-0.770103621,None
114,34.16695007696654,0.005335077228734251,None
114,34.26324,0.583133,millet
1156,36.225010173,-1.260679147,None
1159,39.442199242,-1.512669526,None
115,34.17510455425779,0.02359318418134748,None
115,34.26324,0.582131,millet
11607,39.75,3.452380952,Other
11625,39.75,-2.547619048,None
11670,38.75,3.452380952,None
116,34.17510044436645,0.02392687739462433,None
116,34.26443,0.583144,millet
1174,34.2178972884628,-0.486763529389929,None
1174,40.439317734,-1.511951125,None
1175,34.0263614738873,-0.521469591129692,None
1176,34.2156732436897,-0.698090867448743,None
1177,35.5847855897331,1.00884116977469,None
11784,40.75,0.452380952,Other
1178,34.7248570391867,-0.340947513595068,None
1179,35.5964732327513,0.649699905271135,None
117,34.17412769678342,0.0250442916246932,None
117,34.26366,0.584233,red clover
1180,34.6602158343917,-0.337996300044392,None
1181,34.4262365245428,-0.456945568276409,None
1182,35.932323679522,0.236253034483276,None
1183,35.5802754189594,1.19412304757052,None
1184,35.5928239823522,0.694644893174194,None
